date_utc,blocks,first_block,last_block,min_gwei,p25_gwei,median_gwei,p75_gwei,p90_gwei,max_gwei,cheapest_hour_utc,priciest_hour_utc,gas_used_ratio_mean,blob_median_gwei,tip_p10_gwei,tip_p50_gwei,tip_p90_gwei
2026-09-08,7200,25923446,25930645,0.0339157,0.0474947,0.0558272,0.0839238,0.145446,0.447186,10,15,0.5059,0.00328402,,,
2026-09-09,7200,25929095,25936294,0.0344476,0.0494858,0.0656479,0.111554,0.217165,0.737578,1,14,0.5063,0.00387126,,,
2026-09-10,7200,25936248,25943447,0.0332454,0.0587318,0.0738336,0.123269,0.202714,0.421566,2,15,0.5057,0.00434637,,,
2026-09-11,7200,25943417,25950616,0.0396415,0.0541896,0.0646885,0.123166,0.240954,1.15852,5,13,0.5060,0.00395793,,,
2026-09-12,7200,25950588,25957787,0.0371119,0.0555503,0.0673097,0.163903,0.635056,6.30396,23,14,0.5061,0.00397239,,,
2026-09-13,7200,25957771,25964970,0.036022,0.0487052,0.0536518,0.0605272,0.0807651,6.00115,19,5,0.5062,0.00310342,,,
2026-09-14,7200,25964953,25972152,0.0337999,0.0458021,0.050776,0.0571076,0.0636578,0.0969033,5,8,0.5065,0.00294455,,,
2026-09-15,7200,25972133,25979332,0.0317782,0.0571067,0.100523,0.200435,0.398983,2.29577,3,15,0.5067,0.00577123,,,
2026-09-25,7200,26043739,26050938,0.0457911,0.112942,0.23083,0.878972,3.03239,24.8592,2,17,0.5050,0.0126356,,,
2026-09-26,7200,26050889,26058088,0.0469701,0.114135,0.177331,0.504749,1.12442,2.66153,5,13,0.5047,0.00968804,,,
